20140102†9:30AM UTC,"The Zacks Analyst Blog Highlights:Apple, Nokia, Amazon.com, Microsoft and SolarWinds",http://www.reuters.com/article/2014/01/02/il-zacks-investments-idUSnPnCGgBfkT+169+PRN20140102,,,
20140102†8:00AM UTC,Apple Valley Medical Clinic Sleep Center Moves to New Location,http://www.reuters.com/article/2014/01/02/mn-apple-valley-medical-idUSnBw025192a+100+BSW20140102,,,
20140103†9:30AM UTC,"The Zacks Analyst Blog Highlights:Western Digital, Seagate Technology, Apple, Google and Cracker Barrel Old Country Store",http://www.reuters.com/article/2014/01/03/il-zacks-investments-idUSnPnCGgLBkT+16d+PRN20140103,,,
20140103†9:30AM UTC,"The Zacks Analyst Blog Highlights:BlackBerry, Twitter, Apple, Google and Boeing",http://www.reuters.com/article/2014/01/03/il-zacks-investments-idUSnPnCGgLzkT+169+PRN20140103,,,
20140106†10:10AM UTC,Canon U.S.A. Adds Apple AirPrint Compatibility to Newest Devices in the PIXMA Printer Lineup<7751.T>,http://www.reuters.com/article/2014/01/06/ny-canon-usa-idUSnBw066132a+100+BSW20140106,,,
20140106†9:30AM UTC,"The Zacks Analyst Blog Highlights: IBM, Amazon.com, Apple, Google and Facebook",http://www.reuters.com/article/2014/01/06/zacks-analyst-blog-idUSnPnCGh1XkT+165+PRN20140106,,,
20140106†9:30AM UTC,"The Zacks Analyst Blog Highlights: Google, Nvidia, Apple, Facebook and Superior Industries International",http://www.reuters.com/article/2014/01/06/zacks-equity-research-idUSnPnCGh1VkT+165+PRN20140106,,,
20140107†10:03PM UTC,Apple seeks removal of court-appointed antitrust monitor,http://www.reuters.com/article/2014/01/08/us-usa-apple-monitor-idUSBREA0704M20140108,,,
20140107†9:33PM UTC,Apple seeks removal of court-appointed antitrust monitor,http://www.reuters.com/article/2014/01/08/usa-apple-monitor-idUSL2N0KI0FL20140108,,,
20140107†3:03PM UTC,Ergotron Unveils New WorkFit-A for Apple¬Æ with VESA Mount,http://www.reuters.com/article/2014/01/07/ergotron-vesa-mount-idUSnPnCLhbHxV+165+PRN20140107,,,
20140107†1:00PM UTC,Delta Launches Innergie LifeHub Mobile USB Power Hub with Extended Reach for Apple and Android Mobile Devices at 2014 International CES<2308.TW>,http://www.reuters.com/article/2014/01/07/delta-group-idUSnBw076179a+100+BSW20140107,,,
20140107†9:30AM UTC,"The Zacks Analyst Blog Highlights: Apple, Facebook, Intel, Microsoft and Google",http://www.reuters.com/article/2014/01/07/zacks-analyst-blog-idUSnPnCGhs1kT+161+PRN20140107,,,
20140107†9:19AM UTC,Emerson Closes Purchase of EGS Electrical and Renames to Appleton Group,http://www.reuters.com/article/2014/01/07/mo-emerson-idUSnBw076068a+100+BSW20140107,,,
20140107†9:00AM UTC,"State of Tech: A Guide to the Q4 2013 Earnings Season that Boldly Predicts the Winners and Losers, Including Apple, Cree, and Many More",http://www.reuters.com/article/2014/01/07/ni-tech-state-of-tech-idUSnPnPHhsrkj+160+PRN20140107,,,
20140107†8:55AM UTC,"Apple reports $1 billion app sales in Dec, $10 billion for 2013",http://www.reuters.com/article/2014/01/07/us-apple-appsales-idUSBREA060IE20140107,,,
20140107†8:52AM UTC,"Apple reports $1 bln app sales in Dec, $10 bln for 2013",http://www.reuters.com/article/2014/01/07/apple-appsales-idUSL2N0KH0WK20140107,,,
20140107†8:28AM UTC,ForeSee Holiday Retail Report: Supermarket Chain Surpasses Apple Store; Amazon and L.L.Bean Lead in Customer Satisfaction,http://www.reuters.com/article/2014/01/07/foresee-survey-result-idUSnPnDEhrZhW+165+PRN20140107,,,
20140108†9:40PM UTC,"UPDATE 1-Apple, Samsung CEOs agree to mediation in U.S. patent fight",http://www.reuters.com/article/2014/01/09/apple-samsung-idUSL2N0KJ0F520140109,,,
20140108†8:56PM UTC,"Apple, Samsung CEOs agree to mediation in U.S. patent fight -court filing",http://www.reuters.com/article/2014/01/09/apple-samsung-idUSL2N0KJ0EA20140109,,,
20140108†1:48PM UTC,DIRECTV Celebrity Beach Bowl Takes a Bite out of the Big Apple,http://www.reuters.com/article/2014/01/08/ca-directv-idUSnBw086401a+100+BSW20140108,,,
20140108†9:51AM UTC,"Micron shares rise on strong results, possible Apple contract",http://www.reuters.com/article/2014/01/08/us-micron-results-idUSBREA0616E20140108,,,
20140108†9:45AM UTC,"Micron shares rise on strong results, possible Apple contract",http://www.reuters.com/article/2014/01/08/micron-results-idUSL3N0KI3F020140108,,,
20140108†9:30AM UTC,"The Zacks Analyst Blog Highlights:Microsoft, Facebook, Salesforce.com, Apple and Google",http://www.reuters.com/article/2014/01/08/il-zacks-investments-idUSnPnCGhMskT+169+PRN20140108,,,
20140108†9:30AM UTC,Applebee‚Äôs¬Æ Unveils New Kids Menu with More Healthy Meals,http://www.reuters.com/article/2014/01/08/mo-applebees-idUSnBw085809a+100+BSW20140108,,,
20140108†8:00AM UTC,Haier - The Only Appliance Enterprise Successfully Authorized by Apple's MFi Program,http://www.reuters.com/article/2014/01/08/haier-apple-certified-idUSnPnCNhKJhn+16c+PRN20140108,,,
20140109†12:43PM UTC,"Research and Markets: Global Smartphones Strategic Business Report, 2018: Samsung Emerges as the Market Leader Followed by Apple Leaving Blackberry Way Behind",http://www.reuters.com/article/2014/01/09/research-and-markets-idUSnBw096024a+100+BSW20140109,,,
20140109†9:30AM UTC,"The Zacks Analyst Blog Highlights: Apple, Google, China Mobile, Amazon.com and WellPoint",http://www.reuters.com/article/2014/01/09/zacks-investments-idUSnPnCGj5QkT+165+PRN20140109,,,
20140109†8:00AM UTC,"Stock Movements, Scheduled Conferences, and New Launches - Research Report on Apple, Fossil, Pitney Bowes, HARMAN, and Avery Dennison",http://www.reuters.com/article/2014/01/09/bc-analysts-corner-idUSnPn7JT3hn+98+PRN20140109,,,
20140109†6:00AM UTC,TripAdvisor Reveals The Costs To Stay And Play In And Around The Big Apple During The Big Game Weekend,http://www.reuters.com/article/2014/01/09/tripadvisor-biggame-idUSnPnNEj18cx+160+PRN20140109,,,
