20140101†8:00AM UTC,"Technology & Services Deployments, New Board Member, Financial Results, and Consumer Behavior Study Results- Research Report on IBM, Rackspace, Riverbed, NCR, and FIS",http://www.reuters.com/article/2014/01/01/bc-ac-idUSnPnjsB8hn+88+PRN20140101,,
20140102†5:00PM UTC,Direct Insite Corp. Signs Multi-Year Extension With IBM,http://www.reuters.com/article/2014/01/02/idUSnGNX7YgT2M+1d5+GNW20140102,,
20140106†9:30AM UTC,"The Zacks Analyst Blog Highlights: IBM, Amazon.com, Apple, Google and Facebook",http://www.reuters.com/article/2014/01/06/zacks-analyst-blog-idUSnPnCGh1XkT+165+PRN20140106,,
20140107†2:59PM UTC,"Ambercore DC UAB lays the cornerstone in developing TIER III data center facility in Lithuania, and forms a co-marketing initiative with IBM to reach growth market clients across the globe",http://www.reuters.com/article/2014/01/07/idUSnHUGdspg+70+ONE20140107,,
20140107†3:00AM UTC,Bank of China Achieves Customer-Centric Transformation with IBM,http://www.reuters.com/article/2014/01/07/ibm-bank-of-china-idUSnPnNYh4R5M+165+PRN20140107,,
20140107†1:00AM UTC,Nedbank Taps into IBM Analytics to Improve Customer Experience by Leveraging Social Insights,http://www.reuters.com/article/2014/01/07/nedbank-ibm-analytics-idUSnPnNYh9c1W+161+PRN20140107,,
20140108†1:53PM UTC,Arrow Electronics Reveals ‚ÄòArrow Global Training Alliance‚Äô for IBM Global Training,http://www.reuters.com/article/2014/01/08/co-arrow-electronics-idUSnBw086409a+100+BSW20140108,,
20140108†8:01AM UTC,"New Contracts, Dividends, Leadership Changes, and Solar Plants - Research Report on IBM, Crown Castle, Nokia, Yingli Green Energy, and Trina Solar",http://www.reuters.com/article/2014/01/08/bc-analysts-corner-idUSnPn7F7Ghn+94+PRN20140108,,
20140109†9:49AM UTC,"IBM Watson Group Unveils Cloud-Delivered Watson Services to Transform Industrial R&D;, Visualize Big Data Insights and Fuel Analytics Exploration",http://www.reuters.com/article/2014/01/09/ibm-new-watson-srvice-idUSnPnNYj5glf+160+PRN20140109,,
20140109†9:30AM UTC,IBM Forms New Watson Group to Meet Growing Demand for Cognitive Innovations,http://www.reuters.com/article/2014/01/09/ibm-ibmwatsongroup-idUSnPnNYj5dkT+161+PRN20140109,,
20140109†6:00AM UTC,DBS Bank Engages IBM's Watson to Achieve Next Generation Client Experience,http://www.reuters.com/article/2014/01/09/ibm-watson-dbs-bank-idUSnPnNYj3xcx+160+PRN20140109,,
20140109†2:50AM UTC,IBM to invest $1 billion to create new business unit for Watson,http://www.reuters.com/article/2014/01/09/us-ibm-watson-idUSBREA0808U20140109,,
20140109†2:14AM UTC,IBM to invest $1 bln to create new business unit for Watson,http://www.reuters.com/article/2014/01/09/ibm-watson-idUSL3N0KJ22N20140109,,
20140110†10:05AM UTC,"Disney, IBM, Intel, Reebok, Adidas, Stanford University, and Universal Display Corporation Headline at Smart Fabrics & Wearable Technology 2014",http://www.reuters.com/article/2014/01/10/me-smithers-apex-idUSnBw105436a+100+BSW20140110,,
20140110†9:30AM UTC,"Affymetrix, Global Geophysical Services, Hewlett-Packard, IBM and Oracle highlighted as Zacks Bull and Bear of the Day",http://www.reuters.com/article/2014/01/10/il-zacks-investment-idUSnPnCGjlpkT+161+PRN20140110,,
20140110†12:01AM UTC,OhioHealth and IBM Scientists Join Forces to Prevent Infections in Hospitals,http://www.reuters.com/article/2014/01/10/ibmohiohealthprevent-idUSnPnNYjfR1+b2+PRN20140110,,
20140113†3:00PM UTC,"IBM Study: Consumers Willing to Share Personal Details, Expect Value in Return",http://www.reuters.com/article/2014/01/13/ibm-studyconvention-idUSnPnNYjJPxR+16d+PRN20140113,,
20140113†9:00AM UTC,CoreMedia and IBM Partner to Inspire Shoppers and Drive Online Revenue for Retailers,http://www.reuters.com/article/2014/01/13/coremedia-livecontext-idUSnPnSFjBCkj+16c+PRN20140113,,
20140114†6:00PM UTC,IBM Global Services Chosen as Winner of 2014 Citrix Innovation Award for Partners in the Enterprise Category,http://www.reuters.com/article/2014/01/14/fl-citrix-idUSnBw146550a+100+BSW20140114,,
20140114†5:08PM UTC,KILL CORRECTING¬†and REPLACING Invodo and IBM Partner to Bring Revenue-Driving Video to Retailers and Brands,http://www.reuters.com/article/2014/01/14/kill-cqn-tx-invodo-idUSnBw146090a+100+BSW20140114,,
20140114†9:30AM UTC,IBM Cloud Helps Leading Retailers Quickly Adapt to Changing Consumer Trends,http://www.reuters.com/article/2014/01/14/ibm-cloud-retailers-idUSnPnNYjzhkT+161+PRN20140114,,
20140114†9:00AM UTC,"Antioch U Gives BYOD, Browser-based Access to IBM¬Æ SPSS and other Windows Applications",http://www.reuters.com/article/2014/01/14/njericomsoftwareacces-idUSnPnNYjZLkj+16c+PRN20140114,,
20140114†9:00AM UTC,"Media Alert: Rocket Fuel CEO, Amazon CTO and IBM Watson General Manager to Share Perspectives on the Future of Artificial Intelligence",http://www.reuters.com/article/2014/01/14/idUSnMKWhL06fa+1d0+MKW20140114,,
20140114†9:00AM UTC,IBM Sets U.S. Patent Record; Achieves 21st Straight Year of Patent Leadership,http://www.reuters.com/article/2014/01/14/ny-ibm-patent-record-idUSnPnNYk19kj+160+PRN20140114,,
20140114†8:00AM UTC,IBM Audits: Managing and Minimizing the Impact,http://www.reuters.com/article/2014/01/14/nj-miro-consulting-idUSnBw145201a+100+BSW20140114,,
20140115†8:00AM UTC,"Essextec and Gemini Systems Announce Intent to Combine, Enhance Their IBM Business Partnerships, and Expand IT Solutions Offerings to Clients and Prospects",http://www.reuters.com/article/2014/01/15/essextec-gemini-sys-idUSnPnNYkfThn+164+PRN20140115,,
20140115†8:00AM UTC,"Multiplay and KUULUU Launch Games with SoftLayer, an IBM Company",http://www.reuters.com/article/2014/01/15/ibmssoftlayer-games-idUSnPnNYk0Rhn+164+PRN20140115,,
20140116†11:05PM UTC,IBM to spend $1.2 billion to expand cloud services,http://www.reuters.com/article/2014/01/17/us-ibm-datacenters-idUSBREA0G05P20140117,,
20140116†10:46PM UTC,IBM to spend $1.2 bln to expand cloud services,http://www.reuters.com/article/2014/01/17/ibm-datacenters-idUSL3N0KR16L20140117,,
20140116†9:30AM UTC,"The Zacks Analyst Blog Highlights:Intel, Hewlett Packard, IBM, Apple and Meritage Homes",http://www.reuters.com/article/2014/01/16/zacks-equity-research-idUSnPnCGkCLkT+16d+PRN20140116,,
20140116†8:00AM UTC,"Results of a Study on Consumers, Technology Deployment, Web-Based Sales Tools, Conference Call Schedule, and Stock Price Movements - Research Report on IBM, Cree, Xerox, Cognizant, and YY",http://www.reuters.com/article/2014/01/16/bc-analysts-corner-idUSnPn8d1qhn+80+PRN20140116,,
20140116†12:47AM UTC,"IEEE Announces Keynote Speakers from IBM, Intel and Samsung at IEEE World Forum on Internet of Things (WF-IoT) in March 2014",http://www.reuters.com/article/2014/01/16/nj-ieee-idUSnBw156505a+100+BSW20140116,,
20140116†12:01AM UTC,"IBM Introduces X6 Architecture, Optimizes x86-Based Servers for Cloud, Analytics",http://www.reuters.com/article/2014/01/16/ny-ibm-x6architecture-idUSnPnNYkvX1+b2+PRN20140116,,
20140117†2:00PM UTC,IBM Closes Acquisition of Aspera,http://www.reuters.com/article/2014/01/17/ny-ibm-aspera-merge-idUSnPnNYkTKvW+16d+PRN20140117,,
20140117†1:06PM UTC,Fiberlink Acquired by IBM - Edison Exits Enterprise Mobility Management Solution Provider,http://www.reuters.com/article/2014/01/17/idUSnGNX5jJDNP+1cf+GNW20140117,,
20140117†9:30AM UTC,"The Zacks Analyst Blog Highlights: Intel, IBM, Oracle, Cisco and Microsoft",http://www.reuters.com/article/2014/01/17/il-zacks-investment-idUSnPnCGkSqkT+169+PRN20140117,,
20140117†8:00AM UTC,IBM Commits $1.2 Billion to Expand Global Cloud Footprint,http://www.reuters.com/article/2014/01/17/ny-ibm-cloud-commit-idUSnPnNYkQBhn+16c+PRN20140117,,
20140119†8:00PM UTC,Suzhou PowerCore Technology Co. Intends To Use IBM POWER Technology For Chip Design That Pushes Innovation In China,http://www.reuters.com/article/2014/01/20/ibm-openpower-idUSnPnNYl3xKs+162+PRN20140120,,
20140120†3:00PM UTC,IBM Rallies Tennis Fans With Innovative Technology at the Australian Open 2014,http://www.reuters.com/article/2014/01/20/ny-ibm-australianopen-idUSnPnNYlb9xR+161+PRN20140120,,
20140120†1:27PM UTC,Lenovo resumes talks to buy IBM unit: source,http://www.reuters.com/article/2014/01/20/us-ibm-server-sale-idUSBREA0J19620140120,,
