20140102†9:00AM UTC,Lighting Science to Debut New Intelligent Lighting Solutions at International CES 2014,http://www.reuters.com/article/2014/01/02/nv-lighting-science-idUSnBw025157a+100+BSW20140102,,
20140103†4:30PM UTC,"Intel Plans to Report Fourth-Quarter Earnings on Jan. 16, 2014",http://www.reuters.com/article/2014/01/03/ca-intel-idUSnBw035568a+100+BSW20140103,,
20140103†4:15PM UTC,Inteliquent to Present at Needham & Company's 16th Annual Growth Conference,http://www.reuters.com/article/2014/01/03/idUSnGNX758Q1v+1c4+GNW20140103,,
20140103†12:18PM UTC,Research and Markets: 2013 Report on the International Business Intelligence Market - Includes Forecasts to 2018,http://www.reuters.com/article/2014/01/03/research-and-markets-idUSnBw035475a+100+BSW20140103,,
20140106†11:50PM UTC,Intel shows off wearable gadgets as chipmaker expands beyond PCs,http://www.reuters.com/article/2014/01/07/us-ces-intel-idUSBREA0605B20140107,,
20140106†11:48PM UTC,"CORRECTING and REPLACING Intel CEO Unveils Products, Initiatives and Collaborations for More Immersive, Intuitive Experiences and Increased Device Security",http://www.reuters.com/article/2014/01/07/cqn-ca-intel-idUSnBw066910a+100+BSW20140107,,
20140106†10:32PM UTC,Intel shows off wearable gadgets as chipmaker expands beyond PCs,http://www.reuters.com/article/2014/01/07/ces-intel-idUSL2N0KG1UU20140107,,
20140106†10:30PM UTC,"Barneys New York, Council of Fashion Designers of America, Intel and Opening Ceremony Announce Wearable Tech Collaborations",http://www.reuters.com/article/2014/01/07/ca-intel-idUSnBw066927a+100+BSW20140107,,
20140106†7:00PM UTC,Hyundai's Second Generation Blue Link Technology Now Powered By Google And Provides Intelligent Assistance,http://www.reuters.com/article/2014/01/07/nv-hyundai-bluelink-idUSnPnLAh9zHx+162+PRN20140107,,
20140106†5:25PM UTC,Metaio to integrate 3D Augmented Reality into Intel¬Æ RealSense‚Ñ¢ Computing SDK,http://www.reuters.com/article/2014/01/06/ca-metaio-intel-idUSnPnSFhjMD9+166+PRN20140106,,
20140106†4:53PM UTC,Scholastic Media Delivers Collaborative Gaming Experiences for the Intel-Based All-in-One PC,http://www.reuters.com/article/2014/01/06/scholasticmediaintel-idUSnPnNYhb7BN+163+PRN20140106,,
20140106†4:30PM UTC,3D Systems to Further Democratize Physical Photography With Intel Corporation,http://www.reuters.com/article/2014/01/06/idUSnGNX74XfXx+1ca+GNW20140106,,
20140106†4:30PM UTC,Nuance to Start a Whole New Conversation with Launch of New Dragon Assistant for Intel¬Æ RealSense‚Ñ¢ Technology,http://www.reuters.com/article/2014/01/06/ma-nuance-communications-idUSnBw066770a+100+BSW20140106,,
