headline,date,url
Pageant of a Bucolic Ukraine,2014-01-01,https://www.nytimes.com/slideshow/2014/01/01/dining/20140101-HUNGRY.html
"A Day in SoHo, a Night in Ukraine",2014-01-01,https://www.nytimes.com/2014/01/01/dining/a-day-in-soho-a-night-in-ukraine.html
Argentina Tries to Give Malbec More Status,2014-01-01,https://www.nytimes.com/2014/01/01/dining/argentina-tries-to-give-malbec-more-status.html
What the Tipsy Peasant Knew,2014-01-01,https://www.nytimes.com/2014/01/01/dining/what-the-tipsy-peasant-knew.html
Flaming Baba au Rhum Earns the Oohs and Aahs,2014-01-01,https://www.nytimes.com/2014/01/01/dining/flaming-baba-au-rhum-earns-the-oohs-and-aahs.html
"Dr. Robert Neuwirth, a Pioneering Gynecologist, Dies at 80",2014-01-02,https://www.nytimes.com/2013/12/30/us/dr-robert-neuwirth-a-pioneering-gynecologist-dies-at-80.html
Farro and Swiss Chard Salad With Grapefruit Vinaigrette,2014-01-01,https://www.nytimes.com/2014/01/01/health/farro-and-swiss-chard-salad-with-grapefruit-vinaigrette.html
Lentil and Carrot Salad With Middle Eastern Spices,2014-01-02,https://www.nytimes.com/2014/01/02/health/lentil-and-carrot-salad-with-middle-eastern-spices.html
Let Them Eat Acorns,2014-01-01,https://www.nytimes.com/2014/01/01/dining/preaching-the-gospel-of-the-forest-fed-pig.html
"2004, the Year That Changed How We Dine",2014-01-01,https://www.nytimes.com/2014/01/01/dining/2004-the-year-that-changed-how-we-dine.html
Refining the Fitness-Gear Trend,2014-01-02,https://www.nytimes.com/2014/01/02/fashion/Fitness-Gear-Workout-Clothes.html
A New Take on the Avon Lady,2014-01-02,https://www.nytimes.com/2014/01/02/fashion/Dermatologists-Skin-Care-Lines-Beauty-Lessons.html
"Marta Eggerth, the ‘Callas of Operetta,’ Dies at 101",2014-01-02,https://www.nytimes.com/2013/12/31/arts/music/marta-eggerth-the-callas-of-operetta-dies-at-101.html
China Ends Year as Asia’s Weakest Market,2014-01-01,https://www.nytimes.com/2014/01/01/business/international/china-ends-year-as-asias-weakest-market.html
"Putin, After Silence, Condemns Twin Bombings in Volgograd",2014-01-01,https://www.nytimes.com/2014/01/01/world/europe/bomb-attacks-in-russia-echo-threats-by-chechen-insurgent.html
Rebel Forces Attack Key City in South Sudan,2014-01-01,https://www.nytimes.com/2014/01/01/world/africa/south-sudan.html
U.S. Frees Last of the Chinese Uighur Detainees From Guantánamo Bay,2014-01-01,https://www.nytimes.com/2014/01/01/us/us-frees-last-of-uighur-detainees-from-guantanamo.html
"Schumacher’s Condition Improves Slightly, Doctors Say",2014-01-01,https://www.nytimes.com/2014/01/01/sports/autoracing/michael-schumacher.html
From Cake to Coke,2014-01-01,https://www.nytimes.com/2014/01/01/dining/from-cake-to-coke.html
A Pioneer Heads Downtown,2014-01-01,https://www.nytimes.com/2014/01/01/dining/a-pioneer-heads-downtown.html
A Statistic Behind Every Super Bowl Contender,2014-01-01,https://www.nytimes.com/2014/01/01/sports/football/a-statistic-behind-every-super-bowl-contender.html
S.& P. Up 30% in Year in Biggest Increase Since 1997,2014-01-01,https://www.nytimes.com/2014/01/01/business/daily-stock-market-activity.html
Sustainable Resolutions for Your Diet,2014-01-01,https://www.nytimes.com/2014/01/01/dining/sustainable-resolutions-for-your-diet.html
"Global Optimism for 2014, With an Eye on Dormant Risks",2014-01-01,https://www.nytimes.com/2014/01/01/business/international/optimism-of-global-investors-is-tempered-by-concern.html
"John Dominis, a Star Photographer for Life Magazine, Dies at 92",2014-01-01,https://www.nytimes.com/2014/01/01/arts/design/john-dominis-a-star-life-magazine-photographer-dies.html
Video: A Look With Mom’s Monogram,2014-01-02,https://www.nytimes.com/2014/01/02/fashion/fashion-Rockefeller-Center-new-york-city-street-style.html
64-Year Wait for a Bowl Win,2014-01-01,https://www.nytimes.com/2014/01/01/sports/ncaafootball/63-year-wait-for-a-bowl-win.html
64-Year Wait for a Bowl Win,2014-01-01,https://www.nytimes.com/2014/01/01/sports/ncaafootball/64-year-wait-for-a-bowl-win.html
House Hunting Near the Jura Mountains,2014-01-02,https://www.nytimes.com/slideshow/2014/01/02/greathomesanddestinations/20140102-GH-IHH.html
House Hunting Near ... The Jura Mountains,2014-01-02,https://www.nytimes.com/2014/01/02/greathomesanddestinations/house-hunting-near-mont-blanc.html
Judge Orders Release of Dying Lawyer Convicted of Aiding Terrorism,2014-01-01,https://www.nytimes.com/2014/01/01/nyregion/us-asks-judge-to-free-dying-lawyer.html
"Jets Praise Leadership, but Make No Promises",2014-01-01,https://www.nytimes.com/2014/01/01/sports/football/jets-praise-smith-and-ryan-but-make-no-promises.html
The N.F.L.’s Lingering Concussion Problem,2014-01-01,https://www.nytimes.com/2014/01/01/sports/football/the-nfls-lingering-concussion-problem.html
Chinese Businessman Seeking Stake in Times Co.,2014-01-01,https://www.nytimes.com/2014/01/01/business/media/chinese-businessman-announces-bid-to-buy-stake-in-times-co.html
"Lacking a Villain, Super Bowl Power Failure Proves the Hero",2014-01-01,https://www.nytimes.com/2014/01/01/sports/football/lacking-a-villain-super-bowl-power-failure-proves-the-hero.html
"As the Clock Ticks Down, Mayor Bloomberg Experiences 12 Years of Gratitude",2014-01-01,https://www.nytimes.com/2014/01/01/nyregion/for-bloomberg-on-his-final-day-as-mayor-many-thank-yous.html
"Out of the Shower, Onto the Runway",2014-01-02,https://www.nytimes.com/2014/01/02/fashion/Trendy-Shoes-Slides-Flip-Flops-Fashion-Designers.html
Tattoo Ideas? Ink Lovers Get a Buzz in Their Ear,2014-01-02,https://www.nytimes.com/2014/01/02/fashion/Tattoo-ideas-ear-tattoos.html
2013: Sports Year in Print,2014-01-01,https://www.nytimes.com/slideshow/2014/01/01/sports/2013-yearend-frontpages.html
"In Latvia, a New Year Also Rings In the Euro",2014-01-01,https://www.nytimes.com/2014/01/01/business/international/with-the-new-year-the-euro-arrives-in-latvia.html
"Chicago Killings Fall, as Officials Praise Progress ",2014-01-01,https://www.nytimes.com/2014/01/01/us/fewer-murders-in-chicago-this-year-after-a-brutal-2012.html
Help for a Common Seasonal Complaint,2014-01-02,https://www.nytimes.com/2014/01/02/fashion/Winter-Dry-Skin-Care-Face-Creams.html
No Time to Lose for Michelle Bridges,2014-01-02,https://www.nytimes.com/2014/01/02/fashion/Weight-Loss-Program-Personal-Fitness-Trainer-Michelle-Bridges-.html
Pop-Ups and Sales to Start 2014,2014-01-02,https://www.nytimes.com/2014/01/02/fashion/pop-ups-and-sales-to-start-2014.html
A Heady Brew of Organic Moonshine Roots,2014-01-01,https://www.nytimes.com/2014/01/01/arts/music/valerie-june-at-the-highline-ballroom.html
Exercise Game Tracks Your Fitness All Day,2014-01-02,https://www.nytimes.com/2014/01/02/technology/personaltech/review-nintendo-wii-fit-u.html
De Blasio Picks Two Koch Veterans to Help Negotiate City Union Contracts,2014-01-01,https://www.nytimes.com/2014/01/01/nyregion/de-blasio-fills-several-more-slots-in-new-york-city-cabinet.html
The Marriage of Wireless Speaker and Streaming Service,2014-01-02,https://www.nytimes.com/2014/01/02/technology/personaltech/review-pures-jongo-wireless-speakers.html
Smooth Out the Rough Edges of Your Action Video,2014-01-02,https://www.nytimes.com/2014/01/02/technology/personaltech/review-prodrenalin-video-software.html
Ski Helmet Use Isn’t Reducing Brain Injuries,2014-01-01,https://www.nytimes.com/2014/01/01/sports/on-slopes-rise-in-helmet-use-but-no-decline-in-brain-injuries.html
"A Monkey to Hold Your Phone? Go On, Grin",2014-01-02,https://www.nytimes.com/2014/01/02/technology/personaltech/review-monkeyoh-phone-stand.html
U.S. Judge Upholds Most New York Gun Limits,2014-01-01,https://www.nytimes.com/2014/01/01/nyregion/federal-judge-upholds-majority-of-new-york-gun-law.html
Diplomat Back in Iran After Exile in the U.S.,2014-01-01,https://www.nytimes.com/2014/01/01/world/middleeast/ally-of-irans-president-living-in-us-returns-home.html
Spanish Explorers Land in Chelsea,2014-01-01,https://www.nytimes.com/2014/01/01/dining/reviews/restaurant-review-toro.html
Toro,2014-01-01,https://www.nytimes.com/slideshow/2014/01/01/dining/20140101-REST.html
Afghans’ Plan to Release Prisoners Angers U.S.,2014-01-01,https://www.nytimes.com/2014/01/01/world/asia/afghans-planned-prisoner-releases-anger-us.html
Gaining Red-Carpet Swagger,2014-01-02,https://www.nytimes.com/2014/01/02/fashion/Taylor-Schilling-Red-Carpet-Thakoon-Panichgul.html
Seeking Stardom of Their Own,2014-01-02,https://www.nytimes.com/2014/01/02/fashion/fashion-photographers-Inez-van-Lamsweerde-Vinoodh-Matadin.html
